author_id,author
339,Kate DiCamillo/Bagram Ibatoulline
340,Kate DiCamillo/Timothy Basil Ering
341,Kate Jacobs
342,Kate Mosse
343,Katherine Dunn
344,Kazuo Ishiguro
345,Kelley Armstrong
346,Kenneth Grahame/Gillian Avery
347,Kerry Patterson/Joseph Grenny/Ron McMillan/Al Switzler/Stephen R. Covey
348,Kim Edwards
349,Kim Harrison
350,Kimon Nicolaides/Mamie Harmon
351,Kresley Cole
352,Kurt Vonnegut Jr.
353,Kurt Vonnegut Jr./Daniel Simon
354,L.M. Montgomery
355,Lalita Tademy
356,Lance Armstrong/Sally Jenkins
357,Laura Esquivel/Thomas  Christensen/Carol Christensen
358,Laura Ingalls Wilder/Garth Williams
359,Laurell K. Hamilton
360,Lauren Weisberger
361,Lee Child/Dick Hill
362,Leo Tolstoy/David Magarshack/Priscilla Meyer
363,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude
364,Leon Uris
365,Leonardo da Vinci/H. Anna Suh
366,Lewis Carroll/Jane Carruth/Rene Cloke
367,Lewis Carroll/John Tenniel/Martin Gardner
368,Libba Bray
369,Lisa Gardner/Anna Fields
370,Lisa See
371,Lloyd Alexander
372,Lois Lowry
373,Louis Sachar
374,Louis Sachar/Adam McCauley
375,Louis de Bernières
376,Louisa May Alcott
377,Lynsay Sands
378,M.M. Kaye
379,Maeve Binchy
380,Maeve Binchy/René Huigen/Frans Thomése
381,Malcolm Gladwell
382,Marcel Proust/Lydia Davis
383,Marcus Aurelius/Martin Hammond/Albert Wittstock/Diskin Clay
384,Margaret Atwood
385,Margaret Atwood/Laurel Merlington
386,Margaret Mitchell
387,Margaret Weis/Tracy Hickman
388,Margaret Wise Brown/Clement Hurd
389,Marguerite Henry/Wesley Dennis
390,Marian Keyes
391,Marilynne Robinson
392,Marisha Pessl
393,Marjane Satrapi/Anjali Singh
394,Marjane Satrapi/Mattias Ripa
395,Mark Haddon
396,Mark Kurlansky
397,Mark Twain/Guy Cardwell/John Seelye
398,Mark Twain/Guy Cardwell/John Seelye/Walter Trier
399,Mark Twain/Shelly Fisher Fishkin
400,Mark Waid/Alex Ross/Elliot S. Maggin
401,Mark Z. Danielewski
402,Markus Zusak/Cao Xuân Việt Khương
403,Markus Zusak/Emmanuel Pailler
404,Mary Higgins Clark
405,Mary Karr
406,Mary Roach
407,Maureen Johnson
408,Max Brooks
409,Meg Cabot
410,Megan Whalen Turner
411,Mercedes Lackey
412,Michael   Lewis
413,Michael Chabon
414,Michael Connelly
415,Michael Crichton
416,Michael Pollan
417,Miep Gies/Alison Leslie Gold
418,Miguel de Cervantes Saavedra/John Rutherford/Roberto González Echevarría
419,Mike Carey/Glenn Fabry/Neil Gaiman
420,Milan Kundera/Michael Henry Heim
421,Mitch Albom
422,Naomi Novik
423,Napoleon Hill
424,Nassim Nicholas Taleb
425,Nathaniel Hawthorne/Thomas E. Connolly/Nina Baym
426,Nathaniel Philbrick
427,Neal Stephenson
428,Neal Stephenson/Guy Abadia
429,Neal Stephenson/Pedro Jorge Romero
430,Neil Gaiman
431,Neil Gaiman/Andy Kubert/Richard Isanove/Peter Sanderson/Todd Klein
432,Neil Gaiman/Bryan Talbot/Stan Woch/P. Craig Russell/Shawn McManus/John Watkiss/Jill Thompson/Duncan Eagleson/Kent Williams/Todd Klein
433,Neil Gaiman/Chris Bachalo/Mark Buckingham/Tori Amos
434,Neil Gaiman/Dave McKean
435,Neil Gaiman/Kelley Jones/Charles Vess/Colleen Doran/Malcolm Jones III/Steve Erickson
436,Neil Gaiman/Matt Wagner/George Pratt/Dick Giordano/Kelley Jones/P. Craig Russell/Mike Dringenberg/Malcolm Jones III/Todd Klein/Harlan Ellison
437,Neil Gaiman/Michael Zulli/Jon J. Muth/Charles Vess/Mikal Gilmore
438,Neil Gaiman/Mike Allred/Gary Amaro/Mark Buckingham/David Giordano/Tony Harris/Steve Leialoha/Vince Locke/Shea Anton Pensa/Alec Stevens/Bryan Talbot/John Watkiss/Todd Klein/Michael Zulli/Stephen King
439,Neil Gaiman/Sam Kieth/Mike Dringenberg/Malcolm Jones III/Todd Klein/Karen  Berger
440,Neil Gaiman/Shawn McManus/Colleen Doran/Bryan Talbot/George Pratt/Stan Woch/Dick Giordano/Todd Klein
441,Neil Gaiman/Steve Parkhouse/Chris Bachalo/Michael Zulli/Mike Dringenberg/Malcolm Jones III/Todd Klein/Clive Barker
442,Nelson DeMille
443,Newt Scamander/J.K. Rowling
444,Niccolò Machiavelli/Rufus Goodwin/Benjamin Martinez
445,Nicholas Sparks
446,Nicholas Sparks/Micah Sparks
447,Nick Hornby
448,Nicole Krauss
449,Nigella Lawson
450,Nikolai Gogol/Robert A. Maguire/Zlatko Crnković
451,Nora Ephron
452,Nora Roberts
453,Orson Scott Card
454,Orson Scott Card/Piotr W. Cholewa
455,Oscar Wilde
456,Oscar Wilde/Jeffrey Eugenides
457,Ovid/David Raeburn/Denis Feeney
458,P.C. Cast/Kristin Cast
459,Pablo Neruda/W.S. Merwin/Cristina García
460,Pat Conroy
461,Pat Frank
462,Patricia Cornwell
463,Patricia Cornwell/C.J. Critt
464,Patricia Daniels Cornwell/Patricia Cornwell
465,Patricia Schultz
466,Patrick Lencioni
467,Paul Auster/Art Spiegelman/Luc Sante
468,Paulo Coelho/Alan R. Clarke
469,Paulo Coelho/Alan R. Clarke/Özdemir İnce
470,Paulo Coelho/Amanda Hopkinson/Nick Caistor
471,Paulo Coelho/Margaret Jull Costa
472,Paulo Coelho/Margaret Jull Costa/Kâmuran Şipal
473,Pearl S. Buck
474,Peter F. Hamilton
475,Peter Mayle
476,Peter Straub
477,Philip K. Dick
478,Philip K. Dick/David Alabort/Manuel Espín
479,Philip Pullman
480,Philip Roth
481,Philippa Gregory
482,Plato/Desmond Lee/Maria Helena da Rocha Pereira/Benjamin Jowett
483,Primo Levi/Stuart J. Woolf/Philip Roth
484,Rachel Caine
485,Rachel Carson/Linda Lear/Edward O. Wilson
486,Rachel Cohn/David Levithan
487,Raymond Chandler
488,Raymond E. Feist
489,Richard Bach
490,Richard Bachman/Stephen King
491,Richard Dawkins
492,Richard Matheson
493,Richard P. Feynman
494,Richard Paige/Dean Koontz
495,Richard Peck
496,Richard Preston
497,Richard Wright
498,Rick Riordan
499,Roald Dahl/Quentin Blake
500,Robert A. Heinlein
501,Robert B. Cialdini
502,Robert Frost
503,Robert Graves
504,Robert Greene/Joost Elffers
505,Robert Jordan
506,Robert Kirkman/Tony Moore/Charlie Adlard/Cliff Rathburn
507,Robert Louis Stevenson
508,Robert Ludlum
509,Robert M. Pirsig
510,Robert Penn Warren
511,Robert R. McCammon
512,Robin Hobb
513,Robin McKinley
514,Robin S. Sharma
515,Robin Waterfield/John Grisham
516,Rodman Philbrick
517,Rohinton Mistry
518,Ron Chernow
519,Rosamunde Pilcher
520,Rudyard Kipling
521,Rudyard Kipling/Alev Lytle Croutier
522,Rumiko Takahashi
523,Ruth Stiles Gannett
524,Salman Rushdie
525,Sam Harris
526,Sandra Boynton
527,Sara Gruen
528,Sarah Dessen
529,Sarah Dunant
530,Scott Turow
531,Scott Westerfeld
532,Sebastian Faulks
533,Sena Jeter Naslund
534,Shel Silverstein
535,Sidney Sheldon
536,Sophie Kinsella
537,Sophocles/J.E. Thomas
538,Sophocles/Robert Fitzgerald/Dudley Fitts
539,Spencer Johnson/Kenneth H. Blanchard
540,Stephen E. Ambrose
541,Stephen Hawking
